id,TLE_LINE1,TLE_LINE2
VANGUARD 1,1 00005U 58002B   26085.41745268  .00000139  00000-0  19327-3 0  9996,2 00005  34.2410 209.7517 1836579 125.2718 253.3781 10.85961350434285
VANGUARD 2,1 00011U 59001A   26085.91990263  .00001129  00000-0  58482-3 0  9990,2 00011  32.8765  36.4802 1445377 308.6962  39.2785 11.90299738525660
VANGUARD R/B,1 00012U 59001B   26085.46974310  .00000429  00000-0  25466-3 0  9994,2 00012  32.8959 156.7553 1646093  27.1000 340.6667 11.48579095521810
VANGUARD R/B,1 00016U 58002A   26085.66194870 -.00000010  00000-0 -11074-5 0  9995,2 00016  34.2584 183.6700 2019531 132.0386 247.0640 10.49580742680247
VANGUARD 3,1 00020U 59007A   26085.66000806  .00000637  00000-0  25006-3 0  9992,2 00020  33.3466 204.0795 1637740 331.1110  20.7674 11.61893087475011
EXPLORER 7,1 00022U 59009A   26085.61188791  .00010657  00000-0  37134-3 0  9999,2 00022  50.2427 147.9476 0079997 151.6098 208.9255 15.27156573787729
TIROS 1,1 00029U 60002B   26085.89879462  .00000717  00000-0  12534-3 0  9996,2 00029  48.3788  55.6860 0022818 274.5546  85.2761 14.78660002529958
TRANSIT 2A,1 00045U 60007A   26085.76327776  .00000530  00000-0  15259-3 0  9991,2 00045  66.6930 218.2082 0253477 220.6202 137.5748 14.35907750368212
SOLRAD 1 (GREB),1 00046U 60007B   26085.41584967  .00001239  00000-0  24458-3 0  9999,2 00046  66.6863  93.8921 0196300 353.3513   6.4996 14.54721268444962
THOR ABLESTAR R/B,1 00047U 60007C   26085.89803601  .00000722  00000-0  17612-3 0  9991,2 00047  66.6628 267.7277 0221214 200.1778 159.0484 14.45212300438910
DELTA 1 R/B,1 00050U 60009B   26085.97462973 -.00000048  00000-0  35520-3 0  9999,2 00050  47.2315  56.9055 0112843 130.0229 231.0526 12.20162849927669
ECHO 1 DEB (METAL OBJ),1 00051U 60009C   26085.60611257 -.00000097  00000-0 -11988-3 0  9998,2 00051  47.2137 304.8940 0108265 311.9731  47.1874 12.18377330921106
ECHO 1 DEB (MYLAR OBJ),1 00052U 60009D   76059.20960648 +.00000225 +00000-0 +10000-3 0  9997,2 00052 047.1450 002.7500 1406000 181.1400 000.0000 12.17682743007435
ECHO 1 DEB (METAL OBJ),1 00053U 60009E   26085.40954271  .00000011  00000-0  93795-3 0  9994,2 00053  47.2762 237.6805 0100054 190.4912 169.3787 12.17406979925345
COURIER 1B,1 00058U 60013A   26085.66435277  .00000119  00000-0  47039-4 0  9992,2 00058  28.3272 198.4667 0164860 244.4989 113.8421 13.46427025222937
THOR ABLESTAR R/B,1 00059U 60013B   26085.66354364  .00000118  00000-0  40871-4 0  9996,2 00059  28.2478 187.5645 0188980 343.0145  16.4142 13.53165913231985
SCOUT X-1 R/B,1 00082U 61004B   26085.95088159  .00000235  00000-0  21962-3 0  9990,2 00082  38.8582 305.2440 1166943 187.9830 170.0681 12.27882011 66692
EXPLORER 11,1 00107U 61013A   26085.13184579  .00002228  00000-0  25729-3 0  9990,2 00107  28.7743  75.2236 0494440  72.7669 292.6397 14.21832783264669
THOR ABLE DEB (YO),1 00115U 60002D   26085.53057449  .00003202  00000-0  28922-3 0  9996,2 00115  48.1615 147.3818 0027292 246.9437 112.8603 14.97687536505741
TRANSIT 4A,1 00116U 61015A   26085.50552915  .00000018  00000-0  72526-4 0  9999,2 00116  66.8074  93.1497 0079213 326.7045  32.9065 13.92315475285193
SOLRAD 3/INJUN 1,1 00117U 61015B   26085.85781371 -.00000014  00000-0  49044-4 0  9994,2 00117  66.8125 205.8562 0078659 350.5354   9.4237 13.90181345282616
THOR ABLESTAR R/B,1 00118U 61015C   26085.86170640  .00000107  00000-0  11657-3 0  9997,2 00118  66.7620 265.9149 0086030 325.9641  33.5943 14.02706865304599
THOR ABLESTAR DEB,1 00119U 61015D   26085.40549304  .00000542  00000-0  24169-3 0  9990,2 00119  66.7253 243.9332 0105471 317.1308  42.1600 14.27219409346509
THOR ABLESTAR DEB,1 00120U 61015E   26085.95674989  .00000767  00000-0  31412-3 0  9998,2 00120  66.7040 286.4835 0104731  62.5795 298.5909 14.29483528336576
THOR ABLESTAR DEB,1 00121U 61015F   26085.45645271  .00000036  00000-0  75082-4 0  9997,2 00121  66.7459 247.1679 0086828  60.7834 300.1898 14.00217279314784
THOR ABLESTAR DEB,1 00122U 61015G   26085.93436531  .00013141  00000-0  10498-2 0  9997,2 00122  66.7408  63.4974 0045595 270.0699  89.5210 14.99644917381935
THOR ABLESTAR DEB,1 00123U 61015H   26085.91257331  .00000589  00000-0  19466-3 0  9992,2 00123  66.6852 287.4119 0113105 326.7058  32.6964 14.41594052367679
THOR ABLESTAR DEB,1 00124U 61015J   26085.46195015  .00000865  00000-0  31909-3 0  9996,2 00124  66.5423 103.4691 0070629 195.7668 164.1234 14.35877990347058
THOR ABLESTAR DEB,1 00125U 61015K   26085.58688169  .00000460  00000-0  31263-3 0  9991,2 00125  66.8743 136.0399 0066919 128.1837 232.5304 14.07651098305633
THOR ABLESTAR DEB,1 00126U 61015L   26085.97628281  .00001504  00000-0  44830-3 0  9998,2 00126  66.7100 313.9895 0064576 312.5066  47.0595 14.44656544352722
THOR ABLESTAR DEB,1 00127U 61015M   26085.38898222  .00001456  00000-0  40553-3 0  9992,2 00127  66.8283 167.3827 0056842  67.1432 293.5665 14.48288437354868
THOR ABLESTAR DEB,1 00128U 61015N   26085.92805694  .00000128  00000-0  13103-3 0  9990,2 00128  66.6769  25.6715 0092251  10.5948 349.7050 14.02013140303544
THOR ABLESTAR DEB,1 00130U 61015Q   26085.98628794  .00000059  00000-0  91490-4 0  9992,2 00130  66.7687  95.6189 0087600 342.9952  16.8199 13.99407289299959
THOR ABLESTAR DEB,1 00131U 61015R   26085.91105849  .00000144  00000-0  14352-3 0  9993,2 00131  66.7350 308.6963 0074448 129.6934 231.0746 14.01757878291935
THOR ABLESTAR DEB,1 00132U 61015S   26085.69318919  .00000001  00000-0  57593-4 0  9990,2 00132  66.6603 175.7993 0081210 247.7378 111.5075 13.94759985292166
THOR ABLESTAR DEB,1 00133U 61015T   26085.66153942  .00000690  00000-0  33774-3 0  9999,2 00133  67.1135  69.4567 0052783 211.1490 148.6476 14.22905511321745
THOR ABLESTAR DEB,1 00134U 61015U   26085.85765664  .00000134  00000-0  14514-3 0  9995,2 00134  66.8786 249.4703 0087577 252.6018 106.5475 13.97738551294190
THOR ABLESTAR DEB,1 00136U 61015W   26085.38656315  .00001538  00000-0  48935-3 0  9990,2 00136  67.5275 134.2399 0039117 112.1872 248.3397 14.41891859344825
THOR ABLESTAR DEB,1 00138U 61015Y   26085.97011016  .00000583  00000-0  41007-3 0  9992,2 00138  67.1545 304.2831 0030294 196.1123 163.9006 14.04666440291286
THOR ABLESTAR DEB,1 00141U 61015AB  26085.82772120  .00000359  00000-0  35688-3 0  9999,2 00141  66.5875 246.3093 0047273 101.4914 259.1476 13.88953118260385
THOR ABLESTAR DEB,1 00144U 61015AE  26085.37024791  .00000211  00000-0  22729-3 0  9995,2 00144  66.4984 233.0163 0036634  44.3407 316.0594 13.91634728273127
THOR ABLESTAR DEB,1 00145U 61015AF  26085.80922175  .00000170  00000-0  15597-3 0  9996,2 00145  66.9257 227.1212 0063906 351.3390   8.6588 14.03240402305151
THOR ABLESTAR DEB,1 00147U 61015AH  26085.38562475  .00001127  00000-0  51983-3 0  9996,2 00147  66.6165 215.8973 0046018 141.5290 218.9100 14.24131328322670
THOR ABLESTAR DEB,1 00148U 61015AJ  26085.70441969  .00001290  00000-0  70064-3 0  9999,2 00148  65.7725 331.0833 0142742   0.0789   0.0288 14.10677793747340
THOR ABLESTAR DEB,1 00150U 61015AL  26085.38641266  .00000246  00000-0  28845-3 0  9998,2 00150  66.2454 107.3060 0068087 300.3410  59.0939 13.83799146 97048
THOR ABLESTAR DEB,1 00152U 61015AN  26085.64888930  .00000050  00000-0  65347-4 0  9992,2 00152  66.5941 169.8792 0157279 253.5538 104.8215 14.11475955314433
THOR ABLESTAR DEB,1 00154U 61015AQ  26085.96721314  .00000182  00000-0  15519-3 0  9992,2 00154  66.6605   0.4185 0075790  68.8272 292.0891 14.06283800305078
THOR ABLESTAR DEB,1 00155U 61015AR  26085.42036371  .00002287  00000-0  58273-3 0  9998,2 00155  66.8755 128.5613 0043917 313.5960  46.1509 14.51843609349098
THOR ABLESTAR DEB,1 00158U 61015AU  26085.93438896 -.00000074  00000-0 -47158-4 0  9990,2 00158  67.0782  13.6246 0614180 293.9380  59.8486 12.66185704994936
THOR ABLESTAR DEB,1   159U 61015AV  26085.30005171  .00000278  00000-0  79936-3 0  9990,2   159  65.5261  57.8151 0368130 192.0351 167.1695 13.03036948 70055
TIROS 3,1   162U 61017A   26085.21898840  .00000111  00000-0  76986-4 0  9998,2   162  47.9008  26.3229 0044088 342.6692  17.2695 14.45361512379774
MIDAS 3,1 00163U 61018A   26084.74528778 -.00000004  00000-0 -17552-2 0  9992,2 00163  91.1195 201.6269 0101011 246.6232 112.3989  8.91838894106573
DELTA 1 DEB (YO),1   167U 61017D   26085.25043148 -.00000019  00000-0  55709-4 0  9998,2   167  47.8450  52.7719 0089579 132.2688 228.5835 14.24132619352852
THOR ABLESTAR DEB,1 00172U 61015AY  26085.91711380  .00000563  00000-0  81216-3 0  9999,2 00172  67.0701 356.5233 0126966 124.1736 237.1443 13.59214405193937
THOR ABLESTAR DEB,1 00177U 61015BB  26085.98203433  .00000047  00000-0  63841-4 0  9998,2 00177  66.6564  53.1386 0103202 152.0091 208.6604 14.14840675329530
THOR ABLESTAR DEB,1 00178U 61015BC  26085.39996394  .00000051  00000-0  95770-4 0  9990,2 00178  66.8654 202.9980 0074054  51.9572 308.8161 13.93044898285711
MIDAS 3 DEB,1 00188U 61018C   26085.33333106 -.00000023  00000-0 -85838-2 0  9997,2 00188  91.1202 204.4323 0118726 114.9307 246.3957  8.93828492110799
MIDAS 4,1   192U 61028A   26085.25624782  .00000010  00000-0  61507-2 0  9998,2   192  95.8426 206.1785 0135240  49.1201 312.1280  8.67769739 40967
MIDAS 4 DEB,1 00194U 61028C   26081.82982009 -.00000022  00000-0 -72986-2 0  9996,2 00194  95.8373 230.5853 0415812 266.3012  89.0215  8.70111156 45620
MIDAS 4 DEB,1   195U 61028D   26085.28228888 -.00000020  00000-0 -77563-2 0  9993,2   195  95.8455 186.9540 0127095 158.0626 202.5729  8.65621175 35857
MIDAS 3 DEB,1 00196U 61018D   26082.75462630 -.00000013  00000-0 -52173-2 0  9999,2 00196  91.1220 199.7244 0091705  53.1050 307.8183  8.89679233101057
TRANSIT 4B,1 00202U 61031A   26085.95663084  .00000068  00000-0  54710-4 0  9992,2 00202  32.4385  54.1771 0100997 310.0532  49.1267 13.63784482209765
THOR ABLESTAR R/B,1 00204U 61031C   26085.37813095  .00000050  00000-0  34388-4 0  9999,2 00204  32.4410 113.4094 0098482  41.5923 319.2141 13.65076688211701
TRAAC,1 00205U 61031B   26085.64080129  .00000041  00000-0  25438-4 0  9990,2 00205  32.4395 210.8583 0101725  66.8243 294.3057 13.62569232207803
THOR ABLESTAR DEB,1 00210U 61015BE  26085.40444685  .00000559  00000-0  52119-3 0  9992,2 00210  66.4568 209.8731 0046946 357.5994   2.4848 13.88987200253902
THOR ABLESTAR DEB,1 00223U 61015BK  26085.47533381 -.00000012  00000-0  51960-4 0  9994,2 00223  66.8904 162.3292 0065808  18.4885 341.8563 13.89008168279381
THOR ABLESTAR DEB,1 00224U 61015BL  26085.98919890  .00000413  00000-0  26603-3 0  9993,2 00224  66.7383   1.1681 0056253  86.4715   3.3058 14.11978752300919
THOR ABLESTAR DEB,1 00225U 61015BM  26085.46168275  .00000905  00000-0  30591-3 0  9997,2 00225  66.7941 105.9004 0107237 278.8587  80.0387 14.38296795345831
TIROS 4,1 00226U 62002A   26085.93600388  .00000086  00000-0  68373-4 0  9993,2 00226  48.2977  23.0977 0076629 273.4040  85.8097 14.47154971356539
DELTA 1 DEB (YO),1 00227U 62002B   26085.13737291  .00000366  00000-0  15358-3 0  9995,2 00227  48.1486   2.6306 0126887  77.0885 284.4148 14.40708066332328
DELTA 1 DEB (YO),1   228U 62002C   26085.27483513  .00037281  00000-0  72680-3 0  9993,2   228  48.4317  36.6701 0007136 101.4700 258.7044 15.47042988430245
THOR ABLESTAR DEB,1 00230U 61015BN  26085.48613191  .00000062  00000-0  96151-4 0  9996,2 00230  66.8819 252.3430 0098463 235.0753 124.1049 13.96786700294204
THOR ABLESTAR DEB,1 00232U 61015BQ  26085.65146051  .00000249  00000-0  21677-3 0  9990,2 00232  66.8205  58.2156 0055200 170.9994 189.2093 14.00757739295432
THOR ABLESTAR DEB,1 00234U 61015BS  26085.91214123  .00000185  00000-0  16272-3 0  9991,2 00234  66.8784   5.9366 0070722 193.9727 165.9405 14.04055664299886
THOR ABLESTAR DEB,1 00235U 61015BT  26085.51232654  .00000088  00000-0  82602-4 0  9990,2 00235  66.9536 118.4547 0157258  34.5898 326.5301 14.11292095309660
THOR ABLESTAR DEB,1 00243U 61015BY  26085.41340396  .00000896  00000-0  64090-3 0  9998,2 00243  66.4622 212.5183 0022179 156.8375 203.3712 14.01808249271695
THOR ABLESTAR DEB,1   244U 61015BZ  26085.25810603  .00000127  00000-0  14700-3 0  9994,2   244  66.8397  73.2562 0064839 147.5560 212.9534 13.95711652287568
THOR ABLESTAR DEB,1 00245U 61015CA  26085.92722640  .00000903  00000-0  47447-3 0  9998,2 00245  66.1051  27.6034 0057811 251.8247 107.6540 14.18081033316210
THOR ABLESTAR DEB,1 00246U 61015CB  26085.91882779 -.00000013  00000-0  53347-4 0  9998,2 00246  66.8710  30.6640 0067025 196.9067 162.9776 13.86148267612462
THOR ABLESTAR DEB,1 00252U 61015CD  26085.98320616  .00000083  00000-0  15346-3 0  9991,2 00252  67.0805  20.8027 0059990 263.7141 175.0892 13.77780630240002
THOR ABLESTAR DEB,1 00254U 61015CF  26085.31960911  .00001541  00000-0  39236-3 0  9992,2 00254  66.7722 143.1161 0055361 146.4844 213.9790 14.52513140361648
THOR ABLESTAR DEB,1 00260U 61015CG  26085.30878046  .00001851  00000-0  55988-3 0  9991,2 00260  66.7660  62.2642 0042809 191.4575 168.5561 14.44037414344373
THOR ABLESTAR DEB,1 00261U 61015CH  26085.48689649  .00000119  00000-0  12870-3 0  9999,2 00261  66.6794 258.7845 0084883  26.9417 333.6034 14.01018437300507
THOR ABLESTAR DEB,1 00262U 61015CJ  26085.88802653  .00004639  00000-0  96805-3 0  9997,2 00262  66.4622 293.2949 0053838 151.8317 208.5726 14.59916524346503
THOR ABLESTAR DEB,1 00263U 61015CK  26085.94303184  .00001312  00000-0  36271-3 0  9996,2 00263  66.5309 350.8407 0101877 325.5366 115.7650 14.47084096371394
THOR ABLESTAR DEB,1 00264U 61015CL  26085.39200831  .00002091  00000-0  70820-3 0  9994,2 00264  66.5228  93.7108 0013937  75.8087 284.4561 14.38726266321741
THOR ABLESTAR DEB,1 00268U 61015CN  26085.48264241  .00000123  00000-0  50593-3 0  9992,2 00268  67.9419 357.8392 0648507 207.3410 331.7030 12.51699971942909
MIDAS 5 (STRONGBACK),1 00271U 62010A   26085.63715073 -.00000011  00000-0 -32316-2 0  9993,2 00271  86.6703 327.9026 0328059 130.9585 232.0200  9.41308469197908
MIDAS 5 DEB,1 00273U 62010C   26085.58467318  .00000012  00000-0  16408-2 0  9998,2 00273  86.6546 309.1587 0327155 321.0186  36.7546  9.43830566203499
MIDAS 5 DEB,1 00274U 62010D   26085.72864530 -.00000075  00000-0 -15898-1 0  9994,2 00274  86.6796 345.5637 0347365 270.3508  85.7605  9.39370542193043
THOR ABLESTAR DEB,1 00299U 61015CQ  26085.36587159  .00000157  00000-0  23059-3 0  9993,2 00299  67.1668 226.1526 0193570 357.9223   2.1021 13.68987190217723
TIROS 5,1 00309U 62025A   26085.60147714  .00000495  00000-0  11388-3 0  9990,2 00309  58.0892 163.3027 0186328 150.7599 210.4017 14.60582407369765
DELTA 1 DEB (YO),1 00312U 62025C   26085.93774245  .00000683  00000-0  13928-3 0  9996,2 00312  58.2473 326.3483 0188892 193.8848 165.6949 14.61681381346892
THOR ABLESTAR DEB,1 00320U 61015CW  26085.89236368  .00000438  00000-0  18776-3 0  9991,2 00320  66.9036 259.1428 0126656  87.5572 274.0021 14.29523885356599
THOR ABLESTAR DEB,1 00323U 61015CZ  26085.94705875  .00000549  00000-0  30906-3 0  9996,2 00323  66.8379 308.7108 0072538 151.6787 208.8279 14.16355614316828
THOR ABLESTAR DEB,1 00324U 61015DA  26085.69519384  .00000332  00000-0  21595-3 0  9991,2 00324  66.8675 239.5972 0059193  88.1080 272.6789 14.13313758311415
THOR ABLESTAR DEB,1 00325U 61015DB  26085.63561459  .00000750  00000-0  36410-3 0  9992,2 00325  66.9144 315.2922 0049840  92.4588 268.2216 14.23008170321411
THOR ABLESTAR DEB,1 00327U 61015DD  26085.79809981  .00000217  00000-0  22453-3 0  9996,2 00327  66.5419 231.2044 0112999 190.3564 169.5185 13.90839519275287
THOR ABLESTAR DEB,1   329U 61015DF  26085.30896240 -.00000007  00000-0  74916-4 0  9999,2   329  66.7803 208.7163 0110085  47.9226 337.9188 13.66101498218692
THOR ABLESTAR DEB,1 00330U 61015DG  26085.40501573  .00000764  00000-0  50195-3 0  9995,2 00330  66.9787 149.8735 0048211 189.0950 170.9271 14.06659369285063
THOR ABLESTAR DEB,1 00333U 61015DK  26085.91278553  .00010841  00000-0  12890-2 0  9999,2 00333  66.7014  20.1512 0037995 340.6549  19.3132 14.84189265376609
THOR ABLESTAR DEB,1 00334U 61015DL  26085.93161984  .00000019  00000-0  73188-4 0  9996,2 00334  66.9261  24.1315 0077223 166.3923 193.9265 13.91733744284617
THOR ABLESTAR DEB,1 00335U 61015DM  26085.88913476  .00000990  00000-0  47315-3 0  9992,2 00335  66.8411 341.1721 0042313 238.1371 121.5604 14.22814713315603
THOR ABLESTAR DEB,1 00336U 61015DN  26085.97697464  .00000073  00000-0  16238-3 0  9991,2 00336  67.0324  25.7947 0079218 199.3772 236.3124 13.69193874227941
THOR ABLESTAR DEB,1 00337U 61015DP  26085.36062739  .00000427  00000-0  49009-3 0  9991,2 00337  67.0067 117.9119 0107626 316.9113  42.3570 13.76364801233385
TELSTAR 1,1 00340U 62029A   26085.82759259 -.00000019  00000-0  91680-4 0  9993,2 00340  44.7974 113.3125 2425879 338.4490   3.2216  9.12889276124922
DELTA 1 R/B,1 00341U 62029B   26085.09777862  .00000063  00000-0  83886-3 0  9999,2 00341  44.7977  10.5608 2421457  95.2569 305.4624  9.14308400127530
THOR ABLESTAR DEB,1 00350U 61015DQ  26085.37800661  .00000309  00000-0  16074-3 0  9996,2 00350  66.9104  82.3229 0128288 214.2506 145.0269 14.22602603351171
THOR ABLESTAR DEB,1 00351U 61015DR  26085.97496365  .00010566  00000-0  12415-2 0  9995,2 00351  66.7417 320.5221 0022858   2.7117 357.4129 14.85021082365523
THOR ABLESTAR DEB,1 00354U 61015DU  26085.93119619  .00000289  00000-0  51729-3 0  9991,2 00354  67.0656 285.3554 0167184   5.2904 112.2491 13.49420914466770
THOR ABLESTAR DEB,1 00355U 61015DV  26085.40316316  .00000648  00000-0  12056-2 0  9995,2 00355  67.2263 189.0358 0247180 265.4772 168.7839 13.34063900137989
THOR ABLESTAR DEB,1 00357U 61015DX  26085.40886921  .00001232  00000-0  74964-3 0  9998,2 00357  66.8060  94.5941 0018962 266.5824  93.3096 14.09419283284199
FTV 3502,1 00369U 62039A   26085.93822168  .00001592  00000-0  15424-3 0  9994,2 00369  98.4601 164.2743 0079915  36.6553 324.0094 14.92025959403346
TIROS 6,1 00397U 62047A   26085.84944828  .00001615  00000-0  16401-3 0  9994,2 00397  58.3023 222.6632 0013830  73.7672 286.4896 14.95798360400001
THOR ABLESTAR DEB,1 00402U 61015EB  26085.41661965  .00009825  00000-0  15692-2 0  9997,2 00402  66.6504 103.8074 0027385 357.1791   2.9169 14.71957204329030
THOR ABLESTAR DEB,1 00403U 61015EC  26085.44399531  .00000032  00000-0  10006-3 0  9994,2 00403  66.8396 124.6856 0027126 244.2326 225.9577 13.81221886259722
THOR ABLESTAR DEB,1 00404U 61015ED  26085.56775963  .00000421  00000-0  88911-3 0  9997,2 00404  66.4687 277.0815 0556555 216.3420 139.8587 12.92430322 32561
THOR ABLESTAR DEB,1 00405U 61015EE  26085.88842363  .00000032  00000-0  12053-3 0  9994,2 00405  66.8958 354.9223 0090289 239.2888 188.7387 13.66675724220901
THOR ABLESTAR DEB,1 00406U 61015EF  26085.54535015  .00000357  00000-0  47185-3 0  9995,2 00406  66.7779 188.2233 0110765  90.8604 287.8250 13.69537327209883
THOR ABLESTAR DEB,1 00408U 61015EH  26085.94304499  .00000326  00000-0  39817-3 0  9990,2 00408  66.7858 305.5759 0064029 182.4372 279.3687 13.77104531294375
THOR ABLESTAR DEB,1 00409U 61015EJ  26085.38157841  .00001235  00000-0  50975-3 0  9994,2 00409  66.7128 205.7016 0068768 239.7545 119.6734 14.28811138329479
THOR ABLESTAR DEB,1 00410U 61015EK  26085.44213394  .00000027  00000-0  10380-3 0  9993,2 00410  66.6917 236.9112 0009292  40.2539 352.7812 13.76599423248686
THOR ABLESTAR DEB,1 00414U 61015EP  26085.97934537  .00000051  00000-0  12701-3 0  9990,2 00414  66.4442 305.9075 0045627 173.2254 293.6605 13.77590700250708
THOR ABLESTAR DEB,1 00416U 61015ER  26085.42659316  .00000590  00000-0  33848-3 0  9994,2 00416  66.4959 128.8312 0083029 230.1553 129.2211 14.14683251320141
THOR ABLESTAR DEB,1 00417U 61015ES  26085.66490227  .00000572  00000-0  29748-3 0  9999,2 00417  66.7445  63.0585 0066037 167.6385 192.6348 14.20639613325773
THOR ABLESTAR DEB,1   420U 61015EV  26085.27420826  .00000882  00000-0  33150-3 0  9994,2   420  66.8120 134.2692 0090402 271.2908  87.7838 14.33941595341690
ALOUETTE 1 (S-27),1 00424U 62049A   26085.41806459  .00000095  00000-0  98209-4 0  9995,2 00424  80.4697 338.3002 0023688  89.8190 270.5670 13.69576142169789
THOR AGENA B R/B,1 00426U 62049B   26085.49711424  .00000065  00000-0  65007-4 0  9999,2 00426  80.4744 349.7751 0018675  81.5160  90.9405 13.68752010168819
ANNA 1B,1   446U 62060A   26085.33466897 -.00000103  00000-0  46902-4 0  9995,2   446  50.1414 294.6539 0070287 129.4239  51.9767 13.35360660 92631
THOR ABLESTAR R/B,1 00447U 62060B   26085.45281590 -.00000105  00000-0  40733-4 0  9992,2 00447  50.1289 101.6415 0065842 291.2713 241.5799 13.39170042100985
THOR ABLESTAR DEB,1 00461U 61015EX  26085.97384132  .00025143  00000-0  17562-2 0  9990,2 00461  67.4947 324.1972 0019749  14.1079 346.0612 15.05127430373429
THOR ABLESTAR DEB,1 00463U 61015EZ  26085.92196401  .00002821  00000-0  63857-3 0  9994,2 00463  66.7653 273.0325 0049303 314.3868  45.3211 14.56926307357141
THOR ABLESTAR DEB,1 00465U 61015FB  26085.37138859  .00001358  00000-0  44903-3 0  9993,2 00465  66.3158 119.5161 0033789 346.2657  13.7520 14.40767228334170
THOR ABLESTAR DEB,1 00467U 61015FD  26085.53110294  .00001430  00000-0  17318-2 0  9996,2 00467  66.5566 280.7043 0244714   9.6492 350.9143 13.57246387269726
THOR ABLESTAR DEB,1 00469U 61015FF  26085.94779850  .00001116  00000-0  41171-3 0  9998,2 00469  66.8349  11.3329 0064559 258.0350 101.3510 14.34976251341212
THOR ABLESTAR DEB,1 00470U 61015FG  26085.49506185  .00000946  00000-0  58034-3 0  9995,2 00470  66.2287 126.3760 0065095   8.5718 351.6461 14.09229328300743
THOR ABLESTAR DEB,1 00475U 61015FM  26085.67639176  .00003469  00000-0  14219-2 0  9996,2 00475  66.2192 235.3893 0133763 160.1344 200.5028 14.23556988276046
THOR ABLESTAR DEB,1 00478U 61015FQ  26085.96016573  .00021704  00000-0  19927-2 0  9994,2 00478  66.0582  50.4578 0029755 342.8603  17.1514 14.94512413371892
THOR ABLESTAR DEB,1 00480U 61015FS  26085.92582287  .00001755  00000-0  54208-3 0  9999,2 00480  66.2356 284.8629 0078845 199.3227 160.4880 14.42039452342950
RELAY 1 (A-15),1 00503U 62068A   26085.62555904 -.00000031  00000-0  00000-0 0  9992,2 00503  47.4936 170.8644 2839622 118.3712  14.7787  7.78168393799054
EXPLORER 16,1 00506U 62070A   26085.50385245 -.00000014  00000-0  87377-4 0  9991,2 00506  52.0037  19.4094 0276392  98.8029 264.4295 13.85772415197295
THOR AGENA B DEB,1 00510U 62049C   26085.93357350  .00000083  00000-0  83822-4 0  9991,2 00510  80.5145  46.6387 0014845 307.0505 109.0561 13.70059244171407
THOR AGENA B DEB,1 00511U 62049D   26085.96365256  .00000089  00000-0  93623-4 0  9995,2 00511  80.4241 273.4434 0031492 187.1788 325.1060 13.68556911168337
DELTA 1 R/B,1 00515U 62068B   26085.33745281 -.00000022  00000-0  00000-0 0  9992,2 00515  47.4980 103.9873 2828732 178.3653 182.9026  7.79277492801394
THOR ABLESTAR DEB,1 00516U 61015FT  26085.93115843  .00000450  00000-0  40052-3 0  9993,2 00516  65.9972 355.1291 0082113 191.8271 168.0876 13.92766596276939
THOR ABLESTAR DEB,1 00530U 61015FU  26085.65116375  .00000149  00000-0  15133-3 0  9996,2 00530  66.8796 171.0544 0084241 231.7087 127.6399 13.99408662296070
THOR ABLESTAR DEB,1 00537U 61015FW  26085.37439381  .00000133  00000-0  22412-3 0  9998,2 00537  67.2265 308.6767 0175181 351.9723 180.1623 13.65036834  3840
THOR ABLESTAR DEB,1 00538U 61015FX  26085.65200901  .00004678  00000-0  89000-3 0  9998,2 00538  67.8039 179.7335 0010542 308.8214  51.1969 14.64856955351513
THOR ABLESTAR DEB,1 00541U 61015GA  26085.42980673  .00000186  00000-0  21771-3 0  9999,2 00541  67.2170 240.7581 0079375 335.1118  24.6141 13.86342254260852
THOR ABLESTAR DEB,1 00543U 61015GC  26085.17328251  .00000092  00000-0  18382-3 0  9991,2 00543  67.0303 137.9726 0074828 262.5567 129.5793 13.69203204225331
THOR ABLESTAR DEB,1 00544U 61015GD  26085.99035824  .00000163  00000-0  29520-3 0  9998,2 00544  66.8745  48.6658 0191292 318.0575 100.8536 13.56169904190468
THOR ABLESTAR DEB,1 00545U 61015GE  26085.36997963  .00000380  00000-0  46347-3 0  9998,2 00545  67.2299 106.8001 0151369 110.7457 250.9910 13.71030552218933
THOR ABLESTAR DEB,1 00548U 61015GH  26085.65978322  .00002677  00000-0  37855-3 0  9996,2 00548  66.6699 179.1597 0096662 183.7264 176.3150 14.75731980391641
THOR ABLESTAR DEB,1 00549U 61015GJ  26085.97898477  .00000093  00000-0  27289-3 0  9994,2 00549  66.6925  79.5733 0212475  17.5853   4.4016 13.36439064151931
THOR ABLESTAR DEB,1 00552U 61015GM  26085.86364264  .00001808  00000-0  12398-2 0  9997,2 00552  67.7348 247.5094 0094814  65.7279 295.3681 13.99431772245182
SYNCOM 1,1 00553U 63004A   26083.63280450 -.00000095  00000-0  00000-0 0  9998,2 00553  26.8822 274.4881 0800438 198.8670 157.9284  1.16484139 35077
THOR ABLESTAR DEB,1 00558U 61015GQ  26085.96910919  .00000344  00000-0  10217-2 0  9990,2 00558  65.7011 332.8745 0465151 132.8516 324.5985 12.86504886 38982
THOR ABLESTAR DEB,1 00559U 61015GR  26085.34927182  .00007283  00000-0  11448-2 0  9999,2 00559  66.5980 164.6421 0046414 227.8342 131.8831 14.72379795337570
THOR ABLESTAR DEB,1 00560U 61015GS  26085.97100887  .00002278  00000-0  23371-2 0  9992,2 00560  67.1585  80.8706 0306196   5.5624 354.8715 13.59241422143230
